Sygnatura czasowa,Age,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Frequency [Folk],Anxiety,Depression,Insomnia,OCD,Music effects
2023-05-16 19:38:25,18,3,Tak,Nie,Nie,Pop,Tak,Tak,,czasem,nigdy,rzadko,nigdy,rzadko,rzadko,nigdy,nigdy,nigdy,nigdy,często,czasem,czasem,czasem,nigdy,nigdy,5,2,4,0,Poprawia
2023-05-17 08:47:44,20,0,Nie,Nie,Nie,Pop,Nie,Tak,Nie wiem ,czasem,rzadko,czasem,rzadko,rzadko,rzadko,nigdy,czasem,rzadko,nigdy,bardzo często,często,rzadko,nigdy,rzadko,nigdy,1,0,0,1,Poprawia
2023-05-17 09:04:20,,4,Tak,Nie,Nie,Muzyka z gier video,Nie,Tak,Nie wiem,czasem,czasem,bardzo często,rzadko,czasem,czasem,rzadko,rzadko,bardzo często,bardzo często,czasem,czasem,czasem,bardzo często,bardzo często,czasem,10,8,5,8,Poprawia
2023-05-17 09:56:53,21,6,Nie,Tak,Nie,Rock,Tak,Tak,40,bardzo często,nigdy,nigdy,nigdy,rzadko,rzadko,rzadko,nigdy,rzadko,rzadko,czasem,czasem,rzadko,bardzo często,nigdy,rzadko,8,6,7,0,Poprawia
2023-05-17 10:06:48,21,11,Tak,Nie,Nie,Pop,Tak,Tak,80,nigdy,nigdy,bardzo często,nigdy,często,nigdy,nigdy,rzadko,nigdy,czasem,bardzo często,często,często,czasem,nigdy,nigdy,2,1,0,9,Poprawia
2023-05-17 10:07:56,20,4,Tak,Tak,Tak,Muzyka Klasyczna,Tak,Tak,Nie mam pojęcia ,bardzo często,czasem,często,rzadko,rzadko,czasem,nigdy,bardzo często,nigdy,rzadko,często,rzadko,rzadko,często,rzadko,czasem,2,2,0,0,Poprawia
2023-05-17 10:15:53,21,4,Tak,Tak,Tak,Pop,Nie,Nie,Nie wiem,często,nigdy,rzadko,nigdy,często,czasem,nigdy,nigdy,rzadko,nigdy,bardzo często,rzadko,często,czasem,nigdy,rzadko,5,Nie,Nie,Nie,Poprawia
2023-05-17 10:20:21,21,4,Tak,Nie,Nie,Lofi,Tak,Tak,122,rzadko,czasem,czasem,nigdy,często,nigdy,nigdy,nigdy,bardzo często,rzadko,czasem,nigdy,często,bardzo często,czasem,nigdy,9,10,8,3,Poprawia
2023-05-17 10:28:46,52,0,Nie,Nie,Nie,Pop,Nie,Tak,60,czasem,nigdy,rzadko,nigdy,nigdy,rzadko,nigdy,rzadko,nigdy,nigdy,bardzo często,nigdy,nigdy,rzadko,nigdy,nigdy,8,3,4,4,Poprawia
2023-05-17 10:41:10,21,2,Tak,Nie,Nie,Rock,Tak,Tak,Nie wiem xd,rzadko,nigdy,często,nigdy,często,rzadko,czasem,nigdy,nigdy,często,bardzo często,nigdy,bardzo często,bardzo często,często,nigdy,7,9,5,7,Poprawia
2023-05-17 10:48:21,20,3,Nie,Tak,Nie,Rap,Tak,Tak,,czasem,rzadko,często,rzadko,czasem,rzadko,nigdy,często,rzadko,rzadko,często,czasem,bardzo często,rzadko,rzadko,rzadko,6,2,0,6,Poprawia
2023-05-17 10:55:21,20,7,Tak,Nie,Nie,Rock,Nie,Nie,23,nigdy,czasem,nigdy,nigdy,często,nigdy,nigdy,czasem,nigdy,często,bardzo często,nigdy,często,bardzo często,czasem,nigdy,2,0,5,9,Nie odczuwam żadnych efektów
2023-05-17 10:55:30,66,,Tak,Nie,Nie,Jazz,Nie,Nie,Nie wiem ,czasem,czasem,czasem,czasem,rzadko,często,czasem,często,nigdy,rzadko,czasem,czasem,rzadko,często,nigdy,czasem,2,0,4,0,Nie odczuwam żadnych efektów
2023-05-17 11:57:07,23,2,Tak,Nie,Nie,Rock,Nie,Tak,Nie wiem,czasem,rzadko,czasem,czasem,czasem,czasem,rzadko,czasem,czasem,często,często,często,czasem,często,nigdy,często,7,0,3,8,Poprawia
2023-05-17 12:11:01,46,1,Nie,Tak,Nie,Country,Nie,Tak,,czasem,czasem,często,czasem,rzadko,czasem,czasem,rzadko,rzadko,nigdy,często,rzadko,rzadko,często,nigdy,nigdy,3,4,3,2,Poprawia
2023-05-17 12:43:10,23,3,Tak,Nie,Nie,Hip hop,Tak,Tak,Nie wiem,rzadko,czasem,często,nigdy,często,często,rzadko,rzadko,rzadko,często,często,nigdy,często,bardzo często,bardzo często,czasem,0 - nie odczuwam,0,0,0,Nie odczuwam żadnych efektów
2023-05-17 12:45:02,13,3,Tak,Nie,Nie,Pop,Tak,Tak,nie wiem,nigdy,rzadko,nigdy,nigdy,rzadko,czasem,nigdy,nigdy,nigdy,czasem,bardzo często,nigdy,często,czasem,nigdy,nigdy,6,6,6,0,Poprawia
2023-05-17 13:05:01,29,6,Tak,Tak,Tak,Muzyka Klasyczna,Tak,Tak,75,często,nigdy,rzadko,czasem,rzadko,czasem,nigdy,nigdy,rzadko,nigdy,bardzo często,bardzo często,nigdy,czasem,nigdy,czasem,6,4,4,1,Poprawia
2023-05-17 13:12:23,48,2,Tak,Nie,Nie,Pop,Tak,Tak,Nie wiem,często,rzadko,często,rzadko,rzadko,czasem,nigdy,czasem,nigdy,nigdy,bardzo często,nigdy,rzadko,często,nigdy,czasem,0,0,2,0,Poprawia
2023-05-17 13:19:34,50,1,Nie,Tak,Nie,Rock,Nie,Tak,150,rzadko,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,rzadko,nigdy,czasem,często,czasem,nigdy,bardzo często,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-17 13:29:03,22,1,Tak,Tak,Tak,Pop,Nie,Tak,,często,nigdy,rzadko,czasem,czasem,czasem,nigdy,nigdy,nigdy,rzadko,bardzo często,czasem,czasem,bardzo często,nigdy,czasem,1,2,7,4,Poprawia
2023-05-17 13:59:07,38,1,Nie,Nie,Nie,Hip hop,Nie,Nie,Nie wiem ,rzadko,nigdy,rzadko,czasem,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,czasem,czasem,często,rzadko,nigdy,nigdy,3,0,1,0,Poprawia
2023-05-17 14:41:54,39,6,Tak,Nie,Nie,Pop,Nie,Tak,,rzadko,rzadko,często,czasem,czasem,czasem,często,często,rzadko,nigdy,bardzo często,rzadko,rzadko,czasem,nigdy,rzadko,6,3,2,0,Poprawia
2023-05-17 14:41:54,42,7,Tak,Nie,Nie,Pop,Tak,Tak,,rzadko,rzadko,rzadko,rzadko,rzadko,rzadko,często,często,rzadko,nigdy,bardzo często,rzadko,rzadko,czasem,nigdy,rzadko,3,1,1,0,Poprawia
2023-05-17 14:45:30,20,4,Nie,Nie,Nie,Pop,Tak,Nie, ,nigdy,nigdy,często,nigdy,rzadko,nigdy,nigdy,rzadko,czasem,nigdy,bardzo często,czasem,czasem,nigdy,nigdy,nigdy,2,0,0,0,Nie odczuwam żadnych efektów
2023-05-17 14:48:30,37,3,Tak,Nie,Nie,Pop,Nie,Tak,60,czasem,rzadko,czasem,rzadko,czasem,rzadko,nigdy,często,nigdy,nigdy,bardzo często,rzadko,rzadko,rzadko,nigdy,często,0,0,0,0,Poprawia
2023-05-17 18:11:53,35,2,Nie,Nie,Nie,Latino,Nie,Nie,70,czasem,rzadko,rzadko,czasem,nigdy,czasem,nigdy,czasem,rzadko,rzadko,czasem,czasem,rzadko,czasem,nigdy,czasem,3,0,0,0,Poprawia
2023-05-17 19:52:14,48,1,Nie,Nie,Nie,Pop,Nie,Tak,90,czasem,nigdy,rzadko,rzadko,rzadko,rzadko,nigdy,czasem,nigdy,rzadko,często,rzadko,rzadko,czasem,rzadko,nigdy,2,2,3,0,Poprawia
2023-05-17 20:24:35,52,1,Nie,Nie,Nie,Rock,Nie,Tak,4/4,czasem,rzadko,często,rzadko,rzadko,rzadko,rzadko,czasem,rzadko,rzadko,często,czasem,rzadko,często,rzadko,rzadko,1,2,1,1,Poprawia
2023-05-17 20:24:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-17 22:23:48,52,2,Tak,Nie,Nie,Pop,Tak,Nie,Nie wiem,czasem,rzadko,nigdy,czasem,nigdy,czasem,nigdy,czasem,nigdy,nigdy,często,czasem,rzadko,często,nigdy,czasem,6,9,8,6,Poprawia
2023-05-18 10:53:45,21,5,Tak,Nie,Nie,Pop,Nie,Tak,,rzadko,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,często,nigdy,często,nigdy,nigdy,nigdy,2,1,0,1,Pogarsza
2023-05-18 11:09:54,20,2,Nie,Nie,Nie,Pop,Nie,Tak,Nie wiem ,czasem,rzadko,rzadko,nigdy,czasem,rzadko,nigdy,czasem,nigdy,nigdy,bardzo często,rzadko,czasem,czasem,nigdy,rzadko,4,0,0,0,Poprawia
2023-05-18 11:25:07,25,,Tak,Nie,Tak,Rap,Nie,Tak,Nie wiem,czasem,nigdy,czasem,nigdy,często,nigdy,nigdy,nigdy,nigdy,nigdy,rzadko,czasem,często,czasem,nigdy,nigdy,2,0,8,1,Poprawia
2023-05-18 12:57:12,21,4,Tak,Nie,Nie,R&B,Tak,Nie,2,rzadko,rzadko,nigdy,czasem,często,nigdy,rzadko,często,nigdy,nigdy,bardzo często,bardzo często,czasem,nigdy,nigdy,nigdy,5,0,5,3,Poprawia
2023-05-18 13:23:15,19,2,Nie,Tak,Nie,Muzyka Klasyczna,Tak,Nie,60,bardzo często,rzadko,rzadko,czasem,nigdy,często,nigdy,czasem,nigdy,nigdy,bardzo często,nigdy,nigdy,nigdy,rzadko,rzadko,0,6,0,0,Poprawia
2023-05-18 14:47:03,22,3,Tak,Nie,Nie,Latino,Tak,Tak,,rzadko,rzadko,rzadko,rzadko,nigdy,nigdy,nigdy,czasem,czasem,rzadko,często,rzadko,rzadko,czasem,nigdy,czasem,6,0,5,0,Poprawia
2023-05-18 20:47:24,20,3,Tak,Nie,Nie,Pop,Tak,Nie,,rzadko,rzadko,nigdy,rzadko,często,czasem,nigdy,czasem,rzadko,nigdy,często,czasem,często,czasem,nigdy,rzadko,6,2,1,3,Poprawia
2023-05-19 09:24:01,20,1,Nie,Nie,Nie,Pop,Tak,Tak,-,rzadko,nigdy,nigdy,rzadko,bardzo często,rzadko,nigdy,czasem,nigdy,nigdy,bardzo często,bardzo często,bardzo często,nigdy,nigdy,nigdy,1,0,2,0,Poprawia
2023-05-19 12:31:03,22,4,Tak,Tak,Tak,Rock,Tak,Nie,95,rzadko,czasem,rzadko,nigdy,rzadko,czasem,nigdy,czasem,nigdy,czasem,rzadko,nigdy,rzadko,bardzo często,bardzo często,bardzo często,2,4,0,0,Poprawia
2023-05-21 17:43:46,21,2,Nie,Tak,Nie,Rock,Nie,Tak,,nigdy,nigdy,nigdy,nigdy,rzadko,rzadko,nigdy,rzadko,czasem,często,czasem,nigdy,czasem,bardzo często,nigdy,nigdy,8,7,2,2,Poprawia
2023-05-21 17:45:08,30,4,Nie,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,czasem,nigdy,czasem,czasem,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-21 17:48:38,50,3,Nie,Tak,Tak,Metal,Nie,Tak,,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,rzadko,bardzo często,czasem,nigdy,nigdy,często,rzadko,nigdy,6,6,7,3,Nie odczuwam żadnych efektów
2023-05-21 17:50:29,19,6,Tak,Nie,Nie,Metal,Tak,Tak,,czasem,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,bardzo często,rzadko,nigdy,czasem,rzadko,nigdy,nigdy,9,7,10,6,Poprawia
2023-05-21 17:59:42,18,6,Nie,Nie,Nie,Rock,Nie,Tak,,rzadko,nigdy,nigdy,nigdy,czasem,rzadko,nigdy,nigdy,nigdy,często,nigdy,nigdy,czasem,bardzo często,nigdy,nigdy,5,8,3,2,Poprawia
2023-05-21 18:01:17,29,4,Tak,Tak,Tak,Metal,Nie,Tak,,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,rzadko,nigdy,rzadko,bardzo często,rzadko,nigdy,nigdy,czasem,nigdy,nigdy,4,9,9,2,Nie odczuwam żadnych efektów
2023-05-21 18:07:18,42,3,Nie,Nie,Nie,Metal,Tak,Tak,,czasem,nigdy,czasem,nigdy,czasem,nigdy,czasem,nigdy,nigdy,bardzo często,nigdy,nigdy,czasem,bardzo często,nigdy,nigdy,10,10,6,5,Poprawia
2023-05-21 18:10:36,15,3,Tak,Tak,Nie,Muzyka Klasyczna,Tak,Tak,,bardzo często,nigdy,nigdy,czasem,rzadko,rzadko,nigdy,czasem,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,0,0,1,0,Poprawia
2023-05-21 18:12:15,17,5,Nie,Nie,Nie,Jazz,Nie,Tak,,bardzo często,rzadko,nigdy,czasem,nigdy,bardzo często,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,czasem,0,0,0,0,Poprawia
2023-05-22 07:07:33,20,3,Nie,Nie,Nie,Metal,Nie,Tak,,rzadko,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,bardzo często,rzadko,nigdy,czasem,bardzo często,nigdy,nigdy,5,6,5,3,Poprawia
2023-05-22 10:26:23,20,4,Tak,Nie,Nie,Pop,Tak,Nie,-,czasem,czasem,nigdy,nigdy,rzadko,rzadko,rzadko,rzadko,nigdy,nigdy,bardzo często,nigdy,czasem,nigdy,nigdy,nigdy,4,,7,4,Poprawia
2023-05-22 10:26:28,21,3,Tak,Nie,Nie,Pop,Tak,Nie,,czasem,czasem,rzadko,rzadko,rzadko,rzadko,nigdy,rzadko,czasem,nigdy,często,czasem,rzadko,czasem,nigdy,często,6,3,7,3,Poprawia
2023-05-22 13:41:46,19,4,Nie,Nie,Nie,Metal,Nie,Nie,,rzadko,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,czasem,czasem,rzadko,rzadko,nigdy,nigdy,5,6,3,0,Poprawia
2023-05-22 13:45:05,21,5,Nie,Nie,Nie,Pop,Tak,Tak,,czasem,rzadko,nigdy,nigdy,czasem,nigdy,nigdy,czasem,czasem,rzadko,bardzo często,często,czasem,czasem,nigdy,nigdy,1,0,0,0,Poprawia
2023-05-22 13:46:50,29,4,Nie,Nie,Nie,Metal,Tak,Tak,,rzadko,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,czasem,bardzo często,nigdy,nigdy,czasem,rzadko,nigdy,nigdy,6,4,7,0,Poprawia
2023-05-22 13:48:16,16,6,Tak,Nie,Nie,Jazz,Tak,Tak,,czasem,nigdy,nigdy,nigdy,czasem,bardzo często,nigdy,często,często,nigdy,czasem,nigdy,czasem,rzadko,nigdy,nigdy,1,0,0,0,Poprawia
2023-05-22 13:49:32,51,1,Nie,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,czasem,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,0,0,1,0,Poprawia
2023-05-22 13:51:07,21,4,Nie,Nie,Nie,Jazz,Tak,Tak,,rzadko,rzadko,rzadko,nigdy,nigdy,bardzo często,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,0,1,0,0,Poprawia
2023-05-22 13:52:38,24,4,Tak,Nie,Tak,Rock,Tak,Tak,,nigdy,nigdy,nigdy,nigdy,czasem,rzadko,nigdy,nigdy,nigdy,rzadko,czasem,nigdy,czasem,bardzo często,nigdy,nigdy,5,7,2,2,Poprawia
2023-05-22 13:54:01,32,3,Nie,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,,rzadko,rzadko,bardzo często,bardzo często,nigdy,bardzo często,nigdy,czasem,nigdy,nigdy,nigdy,2,0,0,0,Poprawia
2023-05-22 13:55:23,18,3,Nie,Tak,Nie,Pop,Tak,Tak,,rzadko,rzadko,często,nigdy,nigdy,rzadko,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,czasem,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-22 13:58:27,26,4,Nie,Nie,Nie,Rock,Nie,Tak,,rzadko,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,rzadko,czasem,czasem,czasem,bardzo często,nigdy,nigdy,8,6,3,1,Poprawia
2023-05-22 14:00:05,17,5,Tak,Tak,Nie,Pop,Tak,Tak,,rzadko,nigdy,czasem,nigdy,czasem,czasem,nigdy,nigdy,rzadko,nigdy,bardzo często,nigdy,czasem,nigdy,nigdy,nigdy,6,6,2,0,Poprawia
2023-05-22 14:01:39,28,2,Nie,Nie,Nie,Rock,Tak,Tak,,często,nigdy,nigdy,nigdy,często,nigdy,nigdy,rzadko,nigdy,nigdy,rzadko,nigdy,nigdy,bardzo często,czasem,nigdy,8,2,6,2,Poprawia
2023-05-22 14:03:09,34,3,Tak,Nie,Nie,Metal,Tak,Tak,,czasem,nigdy,czasem,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,czasem,nigdy,czasem,nigdy,nigdy,nigdy,9,9,6,6,Nie odczuwam żadnych efektów
2023-05-22 14:04:21,14,1,Nie,Nie,Nie,Pop,Tak,Tak,,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,czasem,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-22 14:05:58,43,1,Nie,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,nigdy,nigdy,nigdy,czasem,czasem,nigdy,rzadko,nigdy,rzadko,2,0,0,0,Poprawia
2023-05-22 14:07:26,25,3,Tak,Tak,Tak,Rock,Tak,Nie,,czasem,nigdy,nigdy,nigdy,czasem,czasem,nigdy,czasem,nigdy,bardzo często,rzadko,nigdy,czasem,rzadko,czasem,nigdy,6,6,3,0,Nie odczuwam żadnych efektów
2023-05-22 14:08:40,27,4,Nie,Nie,Nie,Jazz,Tak,Tak,,bardzo często,czasem,nigdy,rzadko,rzadko,bardzo często,nigdy,rzadko,czasem,nigdy,czasem,bardzo często,nigdy,rzadko,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-22 14:10:40,29,4,Nie,Tak,Tak,Metal,Nie,Nie,,czasem,nigdy,czasem,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,czasem,nigdy,bardzo często,czasem,nigdy,nigdy,9,5,6,1,Poprawia
2023-05-22 14:11:49,28,4,Nie,Nie,Nie,Muzyka Klasyczna,Tak,Tak,,bardzo często,nigdy,rzadko,czasem,czasem,bardzo często,często,nigdy,nigdy,nigdy,rzadko,nigdy,nigdy,nigdy,nigdy,nigdy,1,0,0,0,Poprawia
2023-05-22 14:13:05,28,8,Nie,Nie,Nie,Muzyka Klasyczna,Nie,Nie,,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,bardzo często,czasem,czasem,nigdy,czasem,czasem,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-22 14:14:33,26,3,Nie,Nie,Nie,Pop,Tak,Tak,,rzadko,nigdy,czasem,nigdy,nigdy,czasem,czasem,często,czasem,często,często,czasem,czasem,czasem,nigdy,nigdy,1,0,0,0,Poprawia
2023-05-23 20:01:57,21,2,Nie,Nie,Nie,Rap,Tak,Nie,96,nigdy,nigdy,rzadko,nigdy,bardzo często,rzadko,nigdy,nigdy,nigdy,rzadko,czasem,czasem,bardzo często,rzadko,rzadko,nigdy,6,0,0,0,Poprawia
2023-05-23 20:02:01,20,4,Tak,Nie,Nie,Metal,Tak,Tak,140,rzadko,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,rzadko,czasem,bardzo często,rzadko,nigdy,nigdy,bardzo często,nigdy,rzadko,1,6,0,2,Nie odczuwam żadnych efektów
2023-05-23 20:02:09,21,3,Nie,Nie,Nie,Jazz,Tak,Nie,Nie wiem ,czasem,nigdy,rzadko,nigdy,czasem,bardzo często,nigdy,czasem,czasem,rzadko,często,często,często,nigdy,nigdy,nigdy,7,5,0,1,Poprawia
2023-05-23 20:07:39,21,2,Tak,Nie,Nie,Pop,,Tak,105,czasem,nigdy,rzadko,rzadko,rzadko,czasem,rzadko,czasem,nigdy,rzadko,bardzo często,rzadko,rzadko,czasem,czasem,czasem,7,7,3,9,Poprawia
2023-05-23 20:07:35,21,2,Tak,Nie,Nie,Pop,,Tak,105,czasem,nigdy,rzadko,rzadko,rzadko,czasem,rzadko,czasem,nigdy,rzadko,bardzo często,rzadko,rzadko,czasem,czasem,czasem,7,7,3,9,Poprawia
2023-05-23 20:12:31,21,1,Tak,Nie,Nie,Rap,Tak,Nie,Nie wiem ,bardzo często,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,rzadko,nigdy,często,nigdy,nigdy,nigdy,2,0,7,0,Nie odczuwam żadnych efektów
2023-05-23 20:14:00,20,3,Tak,Nie,Nie,Pop,Nie,Nie,125,czasem,rzadko,czasem,rzadko,rzadko,nigdy,rzadko,rzadko,czasem,rzadko,bardzo często,czasem,czasem,czasem,rzadko,nigdy,10,8,2,9,Poprawia
2023-05-26 18:38:27,22,2,Tak,Tak,Nie,Rock,Nie,Nie,91,rzadko,nigdy,rzadko,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,rzadko,czasem,rzadko,czasem,bardzo często,czasem,nigdy,2,3,1,0,Poprawia
2023-05-26 18:46:30,18,2,Nie,Nie,Nie,Pop,Nie,Nie,144,nigdy,rzadko,czasem,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,bardzo często,rzadko,rzadko,nigdy,rzadko,nigdy,3,5,2,0,Poprawia
2023-05-28 18:54:18,26,2,Nie,Nie,Nie,Muzyka Klasyczna,Tak,Tak,,bardzo często,czasem,rzadko,czasem,rzadko,rzadko,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-28 19:00:24,14,1,Nie,Tak,Nie,Pop,Nie,Tak,,rzadko,nigdy,nigdy,nigdy,czasem,nigdy,czasem,nigdy,nigdy,nigdy,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-28 19:01:39,18,3,Nie,Nie,Nie,Pop,Tak,Tak,,czasem,rzadko,rzadko,rzadko,czasem,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,1,1,1,0,Poprawia
2023-05-28 19:03:22,21,3,Nie,Nie,Nie,Rock,Nie,Tak,,czasem,rzadko,rzadko,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,rzadko,często,nigdy,czasem,bardzo często,nigdy,nigdy,5,4,7,2,Nie odczuwam żadnych efektów
2023-05-28 19:07:29,26,4,Tak,Nie,Nie,Jazz,Nie,Tak,,czasem,nigdy,czasem,nigdy,często,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,0,0,0,0,Poprawia
2023-05-28 19:09:33,45,1,Nie,Nie,Nie,Latino,Tak,Tak,,czasem,nigdy,nigdy,nigdy,nigdy,czasem,rzadko,bardzo często,nigdy,nigdy,nigdy,nigdy,nigdy,rzadko,nigdy,rzadko,1,1,2,0,Poprawia
2023-05-28 19:11:58,29,2,Nie,Nie,Nie,Rock,Nie,Tak,,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,rzadko,rzadko,rzadko,czasem,bardzo często,nigdy,nigdy,5,6,4,4,Nie odczuwam żadnych efektów
2023-06-02 12:16:37,26,3,Nie,Tak,Nie,Pop,Tak,Tak,,czasem,nigdy,nigdy,nigdy,nigdy,czasem,nigdy,nigdy,nigdy,nigdy,bardzo często,czasem,nigdy,nigdy,nigdy,nigdy,1,1,1,0,Poprawia
